,,,,,,,O (90),,,,,,G (-90),,,,,,R (90),,,,,,Y (-90),,,,,,O (90),,,,,,Y (-90),,,,,,O (-90),,,,,,G (180),,,,,,O (180),,,,,,G (-90),,,,,,O (180),,,,,,G (-90),,,,,,W (-90),,,,,,G (-90),,,,,,O (180),,,,,,B (-90),,,,,,R (-90),,,,,,O (-90),,,,,,B (-90),,,,,,W (-90),,,,
R0:R1,1,1,1,1,1,,1,1,1,1,1,,1,0,0,0,0,,1,0,0,0,0,,1,1,1,1,0,,1,1,1,1,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
R2:R5,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
R8:R7,1,1,1,1,1,,1,1,1,1,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,1,1,0,1,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
R6:R3,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
B0:B1,1,1,1,1,1,,1,1,1,0,1,,1,1,1,0,1,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
B2:B5,1,1,1,1,1,,1,1,1,1,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
B8:B7,1,1,1,1,1,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0
B6:B3,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,0,,1,1,1,1,0,,1,1,1,1,0,,1,1,1,1,0,,1,1,1,1,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,1,1,0,0
Y0:Y1,1,1,1,1,1,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,1,1,0,0,,1,1,1,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0
Y2:Y5,1,1,1,1,1,,1,1,1,1,1,,1,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0
